"서울시",동대문구,359,46,7,15,115,15,161,24041,11956,28245,14532,1182,825,237,137,1914,567,355,70,51502,348,37,8,11,108,16,168,20131,10518,36267,17783,1173,862,170,105,1948,553,369,70,49866,358,35,6,11,93,20,193,16738,8260,35530,18161,1069,760,158,113,1783,540,226,73,48852,11,258,2788,350,26,5,7,94,24,194,16645,8183,37081,18777,981,676,161,99,1803,558,245,73,47651,11,11,1223,338,22,3,6,97,22,188,16789,8110,36943,18744,932,588,141,89,1754,552,238,21,142,1659
"서울시",중랑구,393,23,3,22,146,13,186,22884,11039,21154,10194,1086,761,244,152,2138,269,391,66,59937,378,18,3,20,136,15,186,27383,13459,32850,16119,978,699,208,108,2353,104,399,65,58550,376,13,2,14,125,12,210,27171,13231,54037,26307,1175,828,201,121,2498,93,284,66,56851,17,178,4199,356,6,2,13,108,15,212,26573,12738,58632,27628,1138,798,238,151,2516,95,291,65,54882,17,17,1699,363,6,3,11,101,15,227,20335,14787,55634,25725,1114,778,230,155,2498,92,280,39,137,2044
"서울시",성북구,384,37,3,14,141,16,173,24601,12311,24864,11663,1109,858,227,130,1661,417,404,65,59270,402,48,3,11,121,19,200,25142,13038,25313,13309,1214,864,227,170,1738,436,422,68,58890,385,13,3,6,116,21,226,24933,13064,23168,12585,1263,900,226,174,1665,418,404,65,59396,34,154,3232,392,15,1,6,111,24,235,25567,13352,23828,12844,1297,922,228,175,1695,426,411,66,59684,34,134,2817,414,8,-,5,110,33,258,26396,13357,23643,12643,1708,1181,228,176,1789,448,433,39,154,3227
"서울시",강북구,255,24,2,9,94,10,116,13868,6984,15412,7295,593,462,136,74,895,225,217,62,41324,275,36,3,13,89,8,126,13100,7007,14128,6997,605,419,175,130,965,242,234,67,40837,239,11,4,12,76,8,128,11302,6020,11080,5680,554,387,195,37,839,210,203,60,39913,22,94,1964,226,8,3,10,71,7,127,10711,5679,10350,5325,528,369,151,117,793,199,192,59,38571,22,92,1924,246,7,3,8,70,8,150,11829,6221,11236,5787,779,575,149,111,857,215,207,25,104,2185
"서울시",도봉구,344,-,-,35,119,28,162,14313,7004,26573,11987,1081,733,200,136,3573,2152,766,60,57176,371,20,2,30,108,28,183,16488,8488,21590,10486,898,644,174,116,1349,383,249,65,57379,384,17,2,27,106,26,206,17522,8970,23084,11180,953,680,161,98,1396,396,258,68,56517,35,385,4293,230,8,3,9,53,14,143,15151,7647,15755,7806,791,570,140,82,1399,175,235,42,55077,35,478,4097,390,9,-,10,101,25,245,15852,8237,13651,6578,795,561,133,82,1488,205,244,40,610,5055
"서울시",노원구,618,32,-,27,227,50,282,61057,30089,236320,117716,8301,7157,1979,1301,4981,1827,351,54,114920,657,26,8,21,223,51,328,95842,52542,141956,75093,2093,1200,564,298,2618,450,462,58,112741,694,20,7,18,205,53,391,110206,60423,162342,85853,2356,1329,613,324,2766,475,488,62,111413,48,419,6503,470,7,2,6,197,30,228,67561,31728,116498,58998,2131,1174,539,310,2880,295,433,42,110645,48,596,6312,677,1,2,10,203,58,403,62482,31463,137698,69070,2109,1131,543,322,2981,300,445,69,852,9008
"서울시",은평구,430,21,1,21,162,17,208,24580,13504,57452,29418,2716,1859,605,536,1688,15,404,60,71320,437,14,1,19,162,13,228,28916,14226,27472,12900,1338,950,265,156,2059,1026,1513,62,70827,448,14,2,15,136,17,264,19848,9902,35583,18204,1036,749,202,134,1825,264,287,64,69549,39,147,3055,476,16,2,13,136,19,290,20623,10432,48099,25633,990,695,180,119,1350,564,275,70,67701,39,192,4034,482,15,2,12,126,24,303,21302,10784,49694,26369,1040,725,196,139,1396,570,239,43,258,5036
"서울시",서대문구,304,30,4,12,95,28,135,17882,9066,46206,21980,1375,850,494,211,1231,13,284,69,43895,288,19,4,5,80,30,150,35609,20182,99201,62619,1242,924,262,168,1544,389,269,66,43317,296,17,4,6,70,34,165,26494,14166,103403,65679,603,400,109,63,781,220,160,70,42510,36,129,2722,313,22,5,6,68,36,176,24435,13877,132758,79887,1020,690,240,164,955,348,200,75,41618,36,122,2458,325,21,5,5,60,40,194,24097,13318,25655,13397,1098,730,267,184,1032,362,208,34,120,2137
"서울시",마포구,391,50,1,14,188,35,103,23400,12486,46542,21487,1368,924,394,294,1432,21,357,92,42525,398,51,-,10,175,36,126,37036,19578,60716,34221,1931,1219,504,315,1893,420,363,94,42418,432,46,2,9,193,34,148,20337,10915,34813,18918,1245,758,334,183,1344,376,290,102,42511,28,117,2183,459,48,2,8,184,50,167,21715,12353,37898,22128,1134,724,282,164,787,675,245,108,42488,28,103,2021,481,53,4,7,183,50,184,22304,12645,38644,22510,1128,717,316,185,1175,688,242,28,133,2257
"서울시",양천구,675,34,5,34,198,73,331,61733,33751,91470,43621,2535,1887,842,657,1192,503,578,79,85485,737,25,3,34,185,76,414,64860,35460,96081,45821,2662,1981,890,691,5656,19,687,86,85681,807,25,5,21,185,76,495,72761,39678,108836,51779,3002,2213,974,750,6193,20,752,94,85766,74,639,8946,812,22,4,16,168,71,531,79431,38658,173353,83384,4057,2500,783,517,6231,21,757,96,84661,74,666,9324,857,22,3,10,162,75,585,113598,56899,201501,101729,4109,2670,872,557,7486,1201,872,78,674,8997
