"자치구별(1)","자치구별(2)",고등학교별(1),고등학교별(2),2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020
"자치구별(1)","자치구별(2)",고등학교별(1),고등학교별(2),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명)
"합계","중구",고등학교(합계),자율고,848,483,57.0,5,360,872,597,68.5,15,260,713,406,56.9,2,305,696,421,60.5,5,270,700,409,58.4,12,279,676,390,57.7,15,271,719,413,57.4,25,281,634,327,51.6,6,301,694,390,56.2,6,298,584,348,59.6,7,229
"합계","용산구",고등학교(합계),소계,3381,1925,56.9,202,1254,3187,1776,55.7,330,1081,2787,1481,53.1,332,974,2709,1565,57.8,392,752,2558,1451,56.7,303,804,2540,1340,52.8,314,886,2450,1291,52.7,376,783,2420,1326,54.8,330,764,2444,1366,55.9,260,818,2155,1141,52.9,245,769
"합계","용산구",고등학교(합계),일반고,2175,1258,57.8,1,916,2062,1202,58.3,1,859,1745,1045,59.9,8,692,1750,1197,68.4,27,526,1701,1098,64.6,4,599,1688,1057,62.6,23,608,1617,1002,62.0,51,564,1573,993,63.1,35,545,1568,1000,63.8,46,522,1305,810,62.1,39,456
"합계","용산구",고등학교(합계),특성화고,912,512,56.1,182,218,881,458,52.0,310,113,819,325,39.7,324,170,773,265,34.3,365,143,671,244,36.4,299,128,679,183,27.0,291,205,715,222,31.0,324,169,708,249,35.2,295,164,701,261,37.2,214,226,693,238,34.3,206,249
"합계","용산구",고등학교(합계),자율고,294,155,52.7,19,120,244,116,47.5,19,109,223,111,49.8,-,112,186,103,55.4,-,83,186,109,58.6,-,77,173,100,57.8,-,73,118,67,56.8,1,50,139,84,60.4,-,55,175,105,60.0,-,70,157,93,59.2,-,64
"합계","성동구",고등학교(합계),소계,2188,1225,56.0,149,814,2390,1289,53.9,288,813,2444,1277,52.3,261,906,2429,1372,56.5,266,791,2414,1239,51.3,437,738,2270,1125,49.6,390,755,1984,964,48.6,329,691,2131,1085,50.9,261,785,2059,1048,50.9,201,810,1979,1170,59.1,152,657
"합계","성동구",고등학교(합계),일반고,509,311,61.1,18,180,770,449,58.3,24,297,817,476,58.3,26,315,823,535,65.0,26,262,864,510,59.0,148,206,797,466,58.5,140,191,669,419,62.6,46,204,700,450,64.3,31,219,664,408,61.4,42,214,780,534,68.5,29,217
"합계","성동구",고등학교(합계),특성화고,875,452,51.7,122,301,856,397,46.4,227,232,858,331,38.6,235,292,887,357,40.2,240,290,848,302,35.6,289,257,830,297,35.8,250,283,807,258,32.0,283,266,805,268,33.3,230,307,763,323,42.3,156,284,657,296,45.1,119,242
"합계","성동구",고등학교(합계),자율고,804,462,57.5,9,333,764,443,58.0,37,284,769,470,61.1,-,299,719,480,66.8,-,239,702,427,60.8,-,275,643,362,56.3,-,281,508,287,56.5,-,221,626,367,58.6,-,259,632,317,50.2,3,312,542,340,62.7,4,198
"합계","광진구",고등학교(합계),소계,4817,2820,58.5,35,1962,4217,2600,61.7,32,1585,4244,2685,63.3,71,1488,4111,2620,63.7,60,1431,3967,2473,62.3,58,1436,3830,2373,62.0,55,1402,3623,2238,61.8,50,1335,3395,2112,62.2,34,1249,3343,2043,61.1,35,1265,2697,1690,62.7,26,981
